datetime,year,name,latitude,longitude,max_wind_knots,category
1933-07-30 16:00:00,1933,AL051933,27.1,-80.1,65,1
1933-08-23 10:00:00,1933,AL061933,35.8,-75.6,80,1
1933-08-23 12:00:00,1933,AL061933,36.1,-75.8,75,1
1933-09-04 05:00:00,1933,AL111933,26.9,-80.1,110,3
1933-09-05 04:00:00,1933,AL081933,26.1,-97.2,110,3
1934-06-16 19:00:00,1934,AL011934,29.7,-91.7,85,2
1934-07-25 17:00:00,1934,AL031934,28.1,-96.8,75,1
1934-09-09 02:00:00,1934,AL071934,40.7,-73.0,65,1
1935-09-03 02:00:00,1935,AL031935,24.8,-80.8,160,5
1935-09-04 22:00:00,1935,AL031935,29.6,-83.4,85,2
1935-11-04 18:00:00,1935,AL071935,25.9,-80.1,85,2
1936-06-27 16:00:00,1936,AL031936,27.9,-97.0,70,1
1936-07-31 14:00:00,1936,AL051936,30.4,-86.6,90,2
1938-08-15 01:00:00,1938,AL031938,29.8,-93.4,65,1
1938-09-21 20:00:00,1938,AL061938,40.7,-72.9,105,3
1938-09-21 21:00:00,1938,AL061938,41.3,-72.9,100,3
1939-08-11 23:00:00,1939,AL021939,27.2,-80.2,65,1
1939-08-13 06:00:00,1939,AL021939,30.4,-86.4,65,1
1940-08-07 21:00:00,1940,AL021940,29.7,-94.1,85,2
1940-08-11 20:00:00,1940,AL031940,32.1,-80.8,85,2
1941-09-23 22:00:00,1941,AL021941,28.8,-95.6,110,3
1941-10-06 10:00:00,1941,AL051941,25.5,-80.2,85,2
1941-10-06 11:00:00,1941,AL051941,25.5,-80.3,85,2
1941-10-07 09:00:00,1941,AL051941,29.9,-84.6,80,1
1942-08-21 13:00:00,1942,AL021942,29.5,-94.6,65,1
1942-08-30 09:00:00,1942,AL031942,28.3,-96.6,100,3
1943-07-27 18:00:00,1943,AL011943,29.5,-94.6,90,2
1944-08-01 23:00:00,1944,AL031944,33.9,-78.1,70,1
1944-09-15 02:00:00,1944,AL071944,40.9,-72.2,90,2
1944-09-15 04:00:00,1944,AL071944,41.4,-71.6,85,2
1944-10-18 21:00:00,1944,AL131944,24.6,-82.9,105,3
1944-10-19 07:00:00,1944,AL131944,27.2,-82.5,90,2
1945-06-24 08:00:00,1945,AL011945,28.6,-82.7,70,1
1945-06-26 01:00:00,1945,AL011945,34.7,-76.6,65,1
1945-08-27 12:00:00,1945,AL051945,28.2,-96.7,100,3
1945-09-15 19:30:00,1945,AL091945,25.3,-80.3,115,4
1945-09-15 20:00:00,1945,AL091945,25.4,-80.4,115,4
1946-09-12 23:00:00,1946,AL041946,25.9,-77.3,65,1
1946-10-07 04:00:00,1946,AL061946,22.2,-83.9,80,1
1946-10-08 02:00:00,1946,AL061946,27.5,-82.6,75,1
1947-08-15 10:00:00,1947,AL021947,21.7,-97.5,95,2
1947-08-24 22:00:00,1947,AL031947,29.2,-94.9,70,1
1947-09-16 19:00:00,1947,AL041947,26.7,-77.1,105,3
1947-09-17 16:30:00,1947,AL041947,26.1,-80.1,115,4
1947-09-19 14:00:00,1947,AL041947,29.6,-89.5,95,2
1947-10-12 02:00:00,1947,AL091947,25.4,-81.2,80,1
1947-10-15 11:00:00,1947,AL091947,31.8,-80.9,90,2
1948-09-04 07:00:00,1948,AL051948,29.1,-90.5,70,1
1948-09-20 22:00:00,1948,AL081948,22.3,-82.1,110,3
1948-09-21 01:00:00,1948,AL081948,22.7,-82.0,110,3
1948-09-21 17:00:00,1948,AL081948,24.6,-81.6,105,3
1948-09-22 05:00:00,1948,AL081948,25.8,-81.3,115,4
1948-10-05 07:00:00,1948,AL091948,22.4,-83.2,110,3
1948-10-05 18:00:00,1948,AL091948,24.7,-81.2,90,2
1948-10-05 20:00:00,1948,AL091948,25.1,-80.9,90,2
1948-10-07 22:00:00,1948,AL091948,32.3,-64.9,90,2
1949-08-26 23:00:00,1949,AL021949,26.6,-80.0,115,4
1949-10-04 05:00:00,1949,AL111949,28.8,-95.6,95,2
1950-08-21 16:00:00,1950,ABLE,44.6,-63.7,65,1
1950-08-31 03:00:00,1950,BAKER,30.2,-88.0,75,1
1950-08-31 04:00:00,1950,BAKER,30.7,-87.9,75,1
1950-09-03 01:00:00,1950,EASY,21.5,-82.6,70,1
1950-09-03 07:00:00,1950,EASY,22.7,-82.3,80,1
1950-09-05 17:00:00,1950,EASY,29.1,-82.8,105,3
1950-09-06 04:00:00,1950,EASY,28.5,-82.7,90,2
1950-10-11 04:00:00,1950,ITEM,18.9,-95.9,90,2
1950-10-16 22:00:00,1950,KING,20.9,-78.3,80,1
1950-10-18 05:00:00,1950,KING,25.7,-80.2,115,4
1951-05-18 12:00:00,1951,ABLE,27.0,-77.9,75,1
1951-08-18 03:00:00,1951,CHARLIE,17.9,-76.9,110,3
1951-08-20 02:00:00,1951,CHARLIE,20.3,-87.0,115,4
1951-08-20 03:00:00,1951,CHARLIE,20.4,-87.3,115,4
1951-08-22 19:00:00,1951,CHARLIE,22.3,-97.8,100,3
1952-08-31 03:00:00,1952,ABLE,32.3,-80.6,85,2
1952-10-24 18:00:00,1952,FOX,22.0,-80.9,125,4
1952-10-26 10:00:00,1952,FOX,24.7,-76.2,75,1
1952-10-26 15:00:00,1952,FOX,24.5,-75.6,75,1
1953-08-14 03:00:00,1953,BARBARA,35.0,-76.1,80,1
1953-08-14 05:00:00,1953,BARBARA,35.4,-76.1,75,1
1953-08-14 09:00:00,1953,BARBARA,36.1,-75.9,70,1
1953-09-07 20:00:00,1953,CAROL,44.2,-66.4,75,1
1953-09-07 22:00:00,1953,CAROL,45.3,-65.8,70,1
1953-09-26 15:00:00,1953,FLORENCE,30.3,-86.2,80,1
1953-10-09 15:00:00,1953,HAZEL,26.7,-82.2,75,1
1953-10-09 16:00:00,1953,HAZEL,26.7,-82.1,75,1
1954-06-25 14:00:00,1954,ALICE,25.0,-97.6,95,2
1954-08-31 14:00:00,1954,CAROL,40.9,-72.2,100,3
1954-08-31 15:00:00,1954,CAROL,41.3,-72.0,100,3
1954-09-11 18:30:00,1954,EDNA,41.4,-70.5,95,2
1954-09-11 19:00:00,1954,EDNA,41.7,-70.3,95,2
1954-09-11 19:30:00,1954,EDNA,41.9,-70.1,90,2
1954-10-06 00:00:00,1954,HAZEL,12.2,-61.6,65,1
1954-10-12 09:00:00,1954,HAZEL,18.3,-74.2,105,3
1954-10-13 00:00:00,1954,HAZEL,19.6,-73.4,85,2
1954-10-13 14:00:00,1954,HAZEL,21.0,-73.1,85,2
1954-10-15 15:30:00,1954,HAZEL,33.9,-78.6,115,4
1955-01-02 21:00:00,1955,ALICE,18.0,-63.0,65,1
1955-08-12 15:00:00,1955,CONNIE,34.7,-76.7,85,2
1955-09-05 22:00:00,1955,GLADYS,23.1,-97.8,65,1
1955-09-13 21:00:00,1955,HILDA,20.2,-74.2,70,1
1955-09-15 03:00:00,1955,HILDA,19.3,-81.2,65,1
1955-09-16 14:00:00,1955,HILDA,19.7,-87.7,105,3
1955-09-19 11:00:00,1955,HILDA,22.3,-97.9,105,3
1955-09-19 11:00:00,1955,IONE,34.7,-76.7,90,2
1955-09-23 00:00:00,1955,JANET,12.6,-61.4,90,2
1955-09-27 17:00:00,1955,JANET,17.4,-83.9,140,5
1955-09-28 05:00:00,1955,JANET,18.4,-87.8,150,5
1955-09-29 18:00:00,1955,JANET,19.8,-96.4,95,2
1955-10-17 05:00:00,1955,KATIE,18.0,-71.7,95,2
1956-07-26 21:00:00,1956,ANNA,21.7,-97.5,75,1
1956-09-24 10:00:00,1956,FLOSSY,29.1,-89.4,75,1
1956-09-25 00:00:00,1956,FLOSSY,30.4,-86.4,80,1
1957-06-27 13:30:00,1957,AUDREY,29.8,-93.7,110,3
1958-09-01 12:00:00,1958,ELLA,18.2,-73.4,95,2
1958-09-02 00:00:00,1958,ELLA,20.0,-76.2,70,1
1959-07-09 04:00:00,1959,CINDY,33.0,-79.6,65,1
1959-07-25 05:00:00,1959,DEBRA,29.1,-95.2,75,1
1959-09-29 17:00:00,1959,GRACIE,32.5,-80.4,115,4
1960-07-15 06:00:00,1960,ABBY,16.3,-86.6,70,1
1960-07-15 14:00:00,1960,ABBY,16.5,-88.4,70,1
1960-09-04 22:00:00,1960,DONNA,17.7,-61.8,110,3
1960-09-05 04:00:00,1960,DONNA,18.1,-63.0,110,3
1960-09-08 06:00:00,1960,DONNA,22.2,-74.3,105,3
1960-09-08 16:00:00,1960,DONNA,22.4,-75.8,105,3
1960-09-10 07:00:00,1960,DONNA,24.8,-80.9,125,4
1960-09-10 16:00:00,1960,DONNA,25.9,-81.6,105,3
1960-09-12 04:00:00,1960,DONNA,34.6,-77.3,90,2
1960-09-12 19:00:00,1960,DONNA,40.7,-72.9,85,2
1960-09-12 20:00:00,1960,DONNA,41.3,-72.4,80,1
1960-09-15 21:00:00,1960,ETHEL,30.4,-89.0,70,1
1961-07-23 12:00:00,1961,ANNA,15.8,-84.3,70,1
1961-07-24 01:00:00,1961,ANNA,16.1,-86.9,75,1
1961-07-24 10:00:00,1961,ANNA,16.4,-88.5,75,1
1961-09-11 20:00:00,1961,CARLA,28.3,-96.4,125,4
1961-10-31 12:00:00,1961,HATTIE,17.1,-88.3,130,4
1963-08-09 15:30:00,1963,ARLENE,32.3,-64.8,95,2
1963-09-25 07:00:00,1963,EDITH,14.0,-60.9,85,2
1963-09-30 18:00:00,1963,FLORA,11.2,-60.7,90,2
1963-10-04 01:00:00,1963,FLORA,18.2,-73.0,130,4
1963-10-04 18:00:00,1963,FLORA,20.0,-74.9,105,3
1963-10-07 00:00:00,1963,FLORA,20.7,-78.1,85,2
1963-10-10 06:00:00,1963,FLORA,26.9,-66.5,95,2
1963-10-29 17:30:00,1963,GINNY,43.8,-65.8,90,2
1964-08-22 17:00:00,1964,CLEO,15.9,-61.3,110,3
1964-08-22 18:00:00,1964,CLEO,16.0,-61.6,110,3
1964-08-24 20:00:00,1964,CLEO,18.2,-73.7,130,4
1964-08-25 17:00:00,1964,CLEO,19.9,-77.4,70,1
1964-08-26 07:00:00,1964,CLEO,21.6,-79.0,70,1
1964-08-27 08:00:00,1964,CLEO,25.8,-80.1,95,2
1964-09-10 06:00:00,1964,DORA,29.9,-81.3,95,2
1964-10-03 23:00:00,1964,HILDA,29.5,-91.5,90,2
1964-10-13 19:00:00,1964,ISBELL,21.7,-84.5,85,2
1964-10-14 21:00:00,1964,ISBELL,25.8,-81.4,90,2
1965-09-07 20:00:00,1965,BETSY,25.3,-78.1,105,3
1965-09-08 11:00:00,1965,BETSY,25.0,-80.5,100,3
1965-09-10 04:00:00,1965,BETSY,29.2,-90.1,115,4
1966-06-08 08:00:00,1966,ALMA,21.5,-82.9,85,2
1966-06-08 12:00:00,1966,ALMA,22.7,-82.7,90,2
1966-06-09 21:00:00,1966,ALMA,30.1,-84.2,75,1
1966-09-27 17:00:00,1966,INEZ,16.2,-61.6,110,3
1966-09-29 14:00:00,1966,INEZ,17.7,-71.4,140,5
1966-09-29 19:00:00,1966,INEZ,18.2,-72.6,100,3
1966-09-30 14:00:00,1966,INEZ,20.0,-75.7,100,3
1966-10-01 15:00:00,1966,INEZ,21.6,-79.5,65,1
1966-10-04 18:00:00,1966,INEZ,25.0,-80.5,85,2
1966-10-04 23:00:00,1966,INEZ,24.7,-81.3,85,2
1966-10-05 02:00:00,1966,INEZ,24.6,-81.8,85,2
1966-10-10 12:00:00,1966,INEZ,22.8,-97.8,100,3
1967-09-17 03:00:00,1967,BEULAH,20.5,-86.8,110,3
1967-09-17 05:00:00,1967,BEULAH,20.5,-87.3,110,3
1967-09-20 12:00:00,1967,BEULAH,25.9,-97.2,110,3
1968-10-19 04:00:00,1968,GLADYS,28.7,-82.7,85,2
1969-08-15 22:00:00,1969,CAMILLE,21.9,-84.3,95,2
1969-08-18 04:00:00,1969,CAMILLE,30.3,-89.4,150,5
1969-09-03 21:00:00,1969,FRANCELIA,16.2,-88.8,85,2
1969-09-10 01:00:00,1969,GERDA,44.7,-67.3,70,1
1970-08-03 21:00:00,1970,CELIA,27.8,-97.1,120,4
1970-09-12 10:00:00,1970,ELLA,23.9,-97.7,110,3
1983-08-18 07:00:00,1983,ALICIA,29.1,-95.1,100,3
1983-08-28 17:25:00,1983,BARRY,25.4,-97.4,70,1
1984-09-13 07:00:00,1984,DIANA,33.9,-78.0,80,1
1985-07-25 03:00:00,1985,BOB,32.2,-80.5,65,1
1985-08-15 16:30:00,1985,DANNY,29.6,-92.7,80,1
1985-09-02 13:00:00,1985,ELENA,30.4,-89.2,100,3
1985-09-27 05:30:00,1985,GLORIA,35.2,-75.6,90,2
1985-09-27 16:00:00,1985,GLORIA,40.6,-73.3,75,1
1985-10-29 11:00:00,1985,JUAN,29.5,-91.4,65,1
1985-11-21 22:30:00,1985,KATE,30.0,-85.4,85,2
1986-06-26 10:00:00,1986,BONNIE,29.6,-94.2,75,1
1986-08-17 14:00:00,1986,CHARLEY,34.7,-76.5,65,1
1987-09-23 03:00:00,1987,EMILY,18.3,-71.0,95,2
1987-09-25 11:45:00,1987,EMILY,32.3,-64.7,75,1
1987-10-12 21:00:00,1987,FLOYD,25.1,-80.5,65,1
1988-09-03 00:00:00,1988,DEBBY,20.7,-97.3,65,1
1988-09-10 02:00:00,1988,FLORENCE,29.1,-89.3,70,1
1988-09-12 17:00:00,1988,GILBERT,17.8,-76.8,115,4
1988-09-14 15:00:00,1988,GILBERT,20.7,-87.0,140,5
1988-09-16 22:00:00,1988,GILBERT,24.2,-97.8,110,3
1988-10-22 10:00:00,1988,JOAN,11.9,-83.7,125,4
1989-08-01 13:00:00,1989,CHANTAL,29.6,-94.4,70,1
1989-09-17 05:00:00,1989,HUGO,16.3,-61.3,120,4
1989-09-18 06:00:00,1989,HUGO,17.7,-64.8,120,4
1989-09-18 12:00:00,1989,HUGO,18.2,-65.5,110,3
1989-09-18 13:00:00,1989,HUGO,18.3,-65.6,110,3
1989-09-22 04:00:00,1989,HUGO,32.8,-79.8,120,4
1989-10-16 00:30:00,1989,JERRY,29.2,-95.0,75,1
1990-08-07 19:00:00,1990,DIANA,20.9,-97.0,85,2
1991-08-19 17:20:00,1991,BOB,41.2,-71.6,90,2
1991-08-19 18:00:00,1991,BOB,41.4,-71.4,85,2
1992-08-23 21:00:00,1992,ANDREW,25.4,-76.6,140,5
1992-08-24 01:00:00,1992,ANDREW,25.4,-77.8,130,4
1992-08-24 08:40:00,1992,ANDREW,25.5,-80.2,145,5
1992-08-24 09:05:00,1992,ANDREW,25.5,-80.3,145,5
1992-08-26 08:30:00,1992,ANDREW,29.6,-91.5,100,3
1993-09-20 21:00:00,1993,GERT,21.2,-97.5,85,2
1995-08-02 06:15:00,1995,ERIN,27.7,-80.3,75,1
1995-08-03 16:00:00,1995,ERIN,30.3,-87.2,75,1
1995-09-14 21:00:00,1995,MARILYN,15.5,-61.3,70,1
1995-10-04 22:00:00,1995,OPAL,30.3,-87.1,100,3
1995-10-11 02:00:00,1995,ROXANNE,20.0,-87.6,100,3
1996-07-12 20:00:00,1996,BERTHA,34.3,-77.8,90,2
1996-07-28 04:00:00,1996,CESAR,12.2,-83.9,75,1
1996-08-20 17:30:00,1996,DOLLY,19.1,-87.7,65,1
1996-08-23 12:00:00,1996,DOLLY,21.6,-97.7,70,1
1996-09-06 00:30:00,1996,FRAN,33.9,-78.0,100,3
1996-09-10 06:00:00,1996,HORTENSE,18.0,-66.9,70,1
1996-09-15 03:00:00,1996,HORTENSE,44.8,-62.5,70,1
1996-10-18 09:30:00,1996,LILI,22.3,-82.0,85,2
1997-07-18 09:00:00,1997,DANNY,29.3,-89.7,65,1
1997-07-19 10:00:00,1997,DANNY,30.2,-88.1,70,1
